trial_no,color,ans
1,rouge,1
2,rouge,1
3,rouge,1
4,rouge,1
5,rouge,1
6,rouge,1
7,rouge,1
8,rouge,1
9,rouge,1
10,rouge,1
11,rouge,1
12,rouge,1
13,rouge,1
14,rouge,1
15,rouge,1
16,rouge,1
17,rouge,1
18,rouge,1
19,rouge,1
20,rouge,1
21,rouge,1
22,rouge,1
23,rouge,1
24,rouge,1
25,rouge,1
26,rouge,1
27,rouge,1
28,rouge,1
29,rouge,1
30,rouge,1
31,rouge,1
32,rouge,1
33,rouge,1
34,rouge,1
35,rouge,1
36,rouge,1
37,rouge,1
38,rouge,1
39,rouge,1
40,rouge,1
41,rouge,1
42,rouge,1
43,rouge,1
44,rouge,1
45,rouge,1
46,rouge,1
47,rouge,1
48,rouge,1
49,rouge,1
50,rouge,1
51,rouge,1
52,rouge,1
53,rouge,1
54,rouge,1
55,rouge,1
56,rouge,1
57,rouge,1
58,rouge,1
59,rouge,1
60,rouge,1
61,rouge,1
62,rouge,1
63,rouge,1
64,rouge,1
65,rouge,1
66,rouge,1
67,rouge,1
68,rouge,1
69,rouge,1
70,rouge,1
71,rouge,1
72,rouge,1
73,vert,2
74,vert,2
75,vert,2
76,vert,2
77,vert,2
78,vert,2
79,vert,2
80,vert,2
81,vert,2
82,vert,2
83,vert,2
84,vert,2
85,vert,2
86,vert,2
87,vert,2
88,vert,2
89,vert,2
90,vert,2
91,vert,2
92,vert,2
93,vert,2
94,vert,2
95,vert,2
96,vert,2
97,vert,2
98,vert,2
99,vert,2
100,vert,2
101,vert,2
102,vert,2
103,vert,2
104,vert,2
105,vert,2
106,vert,2
107,vert,2
108,vert,2
109,vert,2
110,vert,2
111,vert,2
112,vert,2
113,vert,2
114,vert,2
115,vert,2
116,vert,2
117,vert,2
118,vert,2
119,vert,2
120,vert,2
121,vert,2
122,vert,2
123,vert,2
124,vert,2
125,vert,2
126,vert,2
127,vert,2
128,vert,2
129,vert,2
130,vert,2
131,vert,2
132,vert,2
133,vert,2
134,vert,2
135,vert,2
136,vert,2
137,vert,2
138,vert,2
139,vert,2
140,vert,2
141,vert,2
142,vert,2
143,vert,2
144,vert,2
145,bleu,2
146,bleu,2
147,bleu,2
148,bleu,2
149,bleu,2
150,bleu,2
151,bleu,2
152,bleu,2
153,bleu,2
154,bleu,2
155,bleu,2
156,bleu,2
157,bleu,2
158,bleu,2
159,bleu,2
160,bleu,2
161,bleu,2
162,bleu,2
163,bleu,2
164,bleu,2
165,bleu,2
166,bleu,2
167,bleu,2
168,bleu,2
169,bleu,2
170,bleu,2
171,bleu,2
172,bleu,2
173,bleu,2
174,bleu,2
175,bleu,2
176,bleu,2
177,bleu,2
178,bleu,2
179,bleu,2
180,bleu,2
181,bleu,2
182,bleu,2
183,bleu,2
184,bleu,2
185,bleu,2
186,bleu,2
187,bleu,2
188,bleu,2
189,bleu,2
190,bleu,2
191,bleu,2
192,bleu,2
193,bleu,2
194,bleu,2
195,bleu,2
196,bleu,2
197,bleu,2
198,bleu,2
199,bleu,2
200,bleu,2
201,bleu,2
202,bleu,2
203,bleu,2
204,bleu,2
205,bleu,2
206,bleu,2
207,bleu,2
208,bleu,2
209,bleu,2
210,bleu,2
211,bleu,2
212,bleu,2
213,bleu,2
214,bleu,2
215,bleu,2
216,bleu,2
217,jaune,1
218,jaune,1
219,jaune,1
220,jaune,1
221,jaune,1
222,jaune,1
223,jaune,1
224,jaune,1
225,jaune,1
226,jaune,1
227,jaune,1
228,jaune,1
229,jaune,1
230,jaune,1
231,jaune,1
232,jaune,1
233,jaune,1
234,jaune,1
235,jaune,1
236,jaune,1
237,jaune,1
238,jaune,1
239,jaune,1
240,jaune,1
241,jaune,1
242,jaune,1
243,jaune,1
244,jaune,1
245,jaune,1
246,jaune,1
247,jaune,1
248,jaune,1
249,jaune,1
250,jaune,1
251,jaune,1
252,jaune,1
253,jaune,1
254,jaune,1
255,jaune,1
256,jaune,1
257,jaune,1
258,jaune,1
259,jaune,1
260,jaune,1
261,jaune,1
262,jaune,1
263,jaune,1
264,jaune,1
265,jaune,1
266,jaune,1
267,jaune,1
268,jaune,1
269,jaune,1
270,jaune,1
271,jaune,1
272,jaune,1
273,jaune,1
274,jaune,1
275,jaune,1
276,jaune,1
277,jaune,1
278,jaune,1
279,jaune,1
280,jaune,1
281,jaune,1
282,jaune,1
283,jaune,1
284,jaune,1
285,jaune,1
286,jaune,1
287,jaune,1
288,jaune,1
